name,genres,popularity
Blindside Blues Band,blues rock;electric blues;modern blues;modern blues rock;power blues-rock,32
Blitzkrieg,nwobhm,26
Blue Murder,glam metal;hard rock,33
Blue Öyster Cult,album rock;art rock;blues rock;classic rock;hard rock;metal;rock;soft rock,69
Bonafide,modern hard rock;nwocr;sleaze rock;swedish alternative rock,34
Bonfire,german hard rock;german power metal;glam metal;hard rock;melodic hard rock,45
Boston,album rock;art rock;classic rock;country rock;hard rock;mellow gold;rock;soft rock,71
Brand New Sin,southern metal,30
Brides Of Destruction,glam metal;sleaze rock,18
Britny Fox,glam metal;hard rock;sleaze rock,37
Brownsville Station,album rock;blues rock;classic rock;country rock;michigan indie;southern rock,36
Bruce Dickinson,album rock;hard rock;metal;power metal;rock,56
Buckcherry,alternative metal;glam metal;hard rock;nu metal;post-grunge;rock;sleaze rock,61
Bulletboys,glam metal;hard rock;sleaze rock,39
Burning Rain,modern hard rock;nwocr,21
Bush,alternative metal;alternative rock;grunge;modern rock;nu metal;pop rock;post-grunge;rap rock;rock,67
Cabaret Voltaire,art rock;bleep techno;british experimental;british industrial;dance rock;ebm;experimental;experimental rock;industrial;industrial rock;new romantic;new wave;post-punk;proto-techno;synthpop;uk post-punk,40
Cacophony,neo classical metal,30
Cactus,blues rock;classic rock;hard rock;psychedelic blues-rock;psychedelic rock,38
Candlebox,alternative metal;alternative rock;grunge;pop rock;post-grunge;rock,59
Candlemass,death metal;doom metal;epic doom;hard rock;metal;opera metal;swedish doom metal;swedish metal,47
Cavalera Conspiracy,alternative metal;death metal;groove metal;metal;nu metal,43
Cavo,hard alternative;post-grunge,43
Celtic Frost,black metal;black thrash;death metal;deathrash;doom metal;metal;old school thrash;swiss black metal;swiss metal,46
Cheap Trick,album rock;art rock;beatlesque;classic rock;dance rock;glam metal;glam rock;hard rock;heartland rock;mellow gold;new wave pop;pop rock;power pop;rock;soft rock,68
Chickenfoot,album rock;hard rock;modern hard rock;rock;supergroup,42
Chilliwack,album rock;classic canadian rock;classic rock,43
Chris Cornell,alternative metal;alternative rock;rock,67
Christian Death,dark wave;deathrock;ethereal wave;gothic rock,47
Cinderella,album rock;glam metal;hard rock;metal;rock,61
Circle II Circle,progressive power metal,22
Clan of Xymox,dark post-punk;dark wave;dream pop;ebm;ethereal wave;gothic rock;new romantic;new wave,46
Clutch,alternative metal;alternative rock;funk metal;hard rock;modern blues rock;rock;stoner metal;stoner rock,60
Cold,alternative metal;industrial metal;nu metal;post-grunge;rap rock,55
Corey Hart,album rock;dance rock;mellow gold;new romantic;new wave;new wave pop;soft rock,55
Corroded,swedish alternative rock,42
Corrosion Of Conformity,alternative metal;groove metal;hard rock;metal;north carolina metal;nu metal;old school thrash;rap rock;rock;sludge metal;stoner metal;stoner rock,52
Course Of Nature,alternative metal;hard alternative;nu metal;post-grunge,34
Coverdale/Page,album rock;hard rock,34
Crashdïet,glam metal;sleaze rock;swedish alternative rock;swedish hard rock,40
Crazy Lixx,glam metal;hard rock;new wave of glam metal;sleaze rock;swedish hard rock;swedish melodic rock,41
Creed,alternative metal;nu metal;pop rock;post-grunge;rock,71
Crimson Glory,metal;neo-trad metal;nwothm;power metal;speed metal;us power metal,34
Crossfade,alternative metal;nu metal;post-grunge;rap rock,60
Crowbar,alternative metal;doom metal;groove metal;louisiana metal;nu metal;post-doom metal;sludge metal;southern metal,44
